,REF_DATE,calgary_aptBldg_BCPI,calgary_highriseBldg_BCPI,calgary_lowriseBldg_BCPI,calgary_residbld_BCPI,calgary_singdethouse_BCPI,calgary_townhouse_BCPI
0,1988-01,,38.0,,,,
1,1988-04,,38.6,,,,
2,1988-07,,39.2,,,,
3,1988-10,,39.7,,,,
4,1989-01,,40.2,,,,
5,1989-04,,41.1,,,,
6,1989-07,,41.7,,,,
7,1989-10,,42.0,,,,
8,1990-01,,42.7,,,,
9,1990-04,,43.0,,,,
10,1990-07,,43.1,,,,
11,1990-10,,43.2,,,,
12,1991-01,,42.9,,,,
13,1991-04,,43.0,,,,
14,1991-07,,42.9,,,,
15,1991-10,,42.8,,,,
16,1992-01,,42.9,,,,
17,1992-04,,43.2,,,,
18,1992-07,,43.5,,,,
19,1992-10,,43.7,,,,
20,1993-01,,43.6,,,,
21,1993-04,,43.6,,,,
22,1993-07,,43.8,,,,
23,1993-10,,43.8,,,,
24,1994-01,,44.0,,,,
25,1994-04,,44.5,,,,
26,1994-07,,44.8,,,,
27,1994-10,,45.0,,,,
28,1995-01,,45.7,,,,
29,1995-04,,46.0,,,,
30,1995-07,,46.0,,,,
31,1995-10,,46.0,,,,
32,1996-01,,46.1,,,,
33,1996-04,,46.4,,,,
34,1996-07,,46.3,,,,
35,1996-10,,46.4,,,,
36,1997-01,,46.7,,,,
37,1997-04,,47.0,,,,
38,1997-07,,47.4,,,,
39,1997-10,,47.7,,,,
40,1998-01,,48.2,,,,
41,1998-04,,48.6,,,,
42,1998-07,,48.6,,,,
43,1998-10,,49.0,,,,
44,1999-01,,49.2,,,,
45,1999-04,,49.9,,,,
46,1999-07,,50.0,,,,
47,1999-10,,50.3,,,,
48,2000-01,,50.9,,,,
49,2000-04,,51.5,,,,
50,2000-07,,52.5,,,,
51,2000-10,,53.2,,,,
52,2001-01,,53.4,,,,
53,2001-04,,53.7,,,,
54,2001-07,,54.0,,,,
55,2001-10,,54.2,,,,
56,2002-01,,54.6,,,,
57,2002-04,,55.1,,,,
58,2002-07,,55.6,,,,
59,2002-10,,55.7,,,,
60,2003-01,,56.6,,,,
61,2003-04,,57.0,,,,
62,2003-07,,57.0,,,,
63,2003-10,,57.2,,,,
64,2004-01,,58.1,,,,
65,2004-04,,59.3,,,,
66,2004-07,,60.4,,,,
67,2004-10,,61.1,,,,
68,2005-01,,61.5,,,,
69,2005-04,,63.1,,,,
70,2005-07,,64.5,,,,
71,2005-10,,65.4,,,,
72,2006-01,,66.4,,,,
73,2006-04,,69.9,,,,
74,2006-07,,74.6,,,,
75,2006-10,,79.7,,,,
76,2007-01,,82.5,,,,
77,2007-04,,86.2,,,,
78,2007-07,,88.1,,,,
79,2007-10,,89.5,,,,
80,2008-01,,91.6,,,,
81,2008-04,,97.8,,,,
82,2008-07,,100.3,,,,
83,2008-10,,95.7,,,,
84,2009-01,,91.5,,,,
85,2009-04,,89.1,,,,
86,2009-07,,87.3,,,,
87,2009-10,,87.1,,,,
88,2010-01,,86.0,,,,
89,2010-04,,87.1,,,,
90,2010-07,,86.5,,,,
91,2010-10,,86.5,,,,
92,2011-01,,87.1,,,,
93,2011-04,,88.1,,,,
94,2011-07,,88.9,,,,
95,2011-10,,89.7,,,,
96,2012-01,,91.2,,,,
97,2012-04,,92.0,,,,
98,2012-07,,92.3,,,,
99,2012-10,,92.4,,,,
100,2013-01,,92.6,,,,
101,2013-04,,93.0,,,,
102,2013-07,,94.0,,,,
103,2013-10,,94.3,,,,
104,2014-01,,94.6,,,,
105,2014-04,,95.0,,,,
106,2014-07,,94.9,,,,
107,2014-10,,94.9,,,,
108,2015-01,,94.8,,,,
109,2015-04,,95.0,,,,
110,2015-07,,94.1,,,,
111,2015-10,,93.6,,,,
112,2016-01,,94.7,,,,
113,2016-04,,93.1,,,,
114,2016-07,,93.0,,,,
115,2016-10,,93.8,,,,
116,2017-01,98.2,98.6,98.2,97.9,97.8,97.5
117,2017-04,99.0,99.4,99.0,98.7,98.6,98.3
118,2017-07,100.7,100.6,100.8,101.0,101.1,101.2
119,2017-10,102.0,101.4,102.1,102.4,102.6,102.9
120,2018-01,103.0,102.1,103.1,103.4,103.6,104.0
121,2018-04,104.2,102.9,104.3,104.6,104.9,105.3
122,2018-07,104.9,103.8,105.0,105.4,105.6,106.0
123,2018-10,105.5,104.7,105.6,106.1,106.4,106.6
124,2019-01,106.0,105.2,106.1,106.4,106.6,106.9
125,2019-04,106.2,105.4,106.3,106.4,106.6,106.9
126,2019-07,106.5,105.7,106.6,106.7,106.9,107.3
127,2019-10,106.7,105.8,106.8,106.9,107.1,107.5
128,2020-01,107.8,106.6,108.0,108.1,108.3,108.8
129,2020-04,107.6,106.5,107.8,107.9,108.1,108.5
130,2020-07,110.0,106.8,110.6,111.2,111.7,112.5
131,2020-10,113.2,107.2,114.5,115.5,116.5,117.7
132,2021-01,121.2,108.6,123.6,125.1,126.7,129.1
133,2021-04,134.5,113.7,138.4,141.8,144.9,148.9
134,2021-07,139.8,117.1,144.1,149.7,154.1,157.7
135,2021-10,144.1,120.6,148.5,153.8,158.0,162.4
136,2022-01,153.3,126.1,158.3,164.7,169.7,174.8
137,2022-04,158.9,129.8,164.1,171.5,177.0,182.7
138,2022-07,161.3,132.4,166.6,173.8,179.1,185.3
