,REF_DATE,edmonton_aptBldg_BCPI,edmonton_highriseBldg_BCPI,edmonton_lowriseBldg_BCPI,edmonton_residbld_BCPI,edmonton_singdethouse_BCPI,edmonton_townhouse_BCPI
0,1988-01,,39.2,,,,
1,1988-04,,39.9,,,,
2,1988-07,,41.7,,,,
3,1988-10,,43.3,,,,
4,1989-01,,44.4,,,,
5,1989-04,,45.5,,,,
6,1989-07,,46.2,,,,
7,1989-10,,46.7,,,,
8,1990-01,,47.4,,,,
9,1990-04,,47.6,,,,
10,1990-07,,47.6,,,,
11,1990-10,,47.8,,,,
12,1991-01,,47.4,,,,
13,1991-04,,47.6,,,,
14,1991-07,,47.5,,,,
15,1991-10,,47.4,,,,
16,1992-01,,47.6,,,,
17,1992-04,,47.9,,,,
18,1992-07,,48.2,,,,
19,1992-10,,48.4,,,,
20,1993-01,,48.2,,,,
21,1993-04,,48.1,,,,
22,1993-07,,48.4,,,,
23,1993-10,,48.4,,,,
24,1994-01,,48.8,,,,
25,1994-04,,49.2,,,,
26,1994-07,,49.6,,,,
27,1994-10,,49.7,,,,
28,1995-01,,50.5,,,,
29,1995-04,,50.8,,,,
30,1995-07,,50.8,,,,
31,1995-10,,50.9,,,,
32,1996-01,,51.1,,,,
33,1996-04,,51.3,,,,
34,1996-07,,51.2,,,,
35,1996-10,,51.4,,,,
36,1997-01,,51.8,,,,
37,1997-04,,52.0,,,,
38,1997-07,,52.5,,,,
39,1997-10,,52.7,,,,
40,1998-01,,53.1,,,,
41,1998-04,,53.5,,,,
42,1998-07,,53.6,,,,
43,1998-10,,53.9,,,,
44,1999-01,,54.2,,,,
45,1999-04,,54.8,,,,
46,1999-07,,55.0,,,,
47,1999-10,,55.3,,,,
48,2000-01,,55.8,,,,
49,2000-04,,56.5,,,,
50,2000-07,,57.5,,,,
51,2000-10,,58.2,,,,
52,2001-01,,58.3,,,,
53,2001-04,,58.6,,,,
54,2001-07,,59.0,,,,
55,2001-10,,59.2,,,,
56,2002-01,,59.6,,,,
57,2002-04,,60.0,,,,
58,2002-07,,60.6,,,,
59,2002-10,,60.8,,,,
60,2003-01,,61.4,,,,
61,2003-04,,61.8,,,,
62,2003-07,,61.8,,,,
63,2003-10,,62.2,,,,
64,2004-01,,63.2,,,,
65,2004-04,,64.3,,,,
66,2004-07,,65.5,,,,
67,2004-10,,66.4,,,,
68,2005-01,,67.0,,,,
69,2005-04,,68.6,,,,
70,2005-07,,69.9,,,,
71,2005-10,,70.9,,,,
72,2006-01,,71.9,,,,
73,2006-04,,75.5,,,,
74,2006-07,,79.4,,,,
75,2006-10,,84.3,,,,
76,2007-01,,86.6,,,,
77,2007-04,,91.2,,,,
78,2007-07,,93.6,,,,
79,2007-10,,95.1,,,,
80,2008-01,,98.2,,,,
81,2008-04,,103.6,,,,
82,2008-07,,105.5,,,,
83,2008-10,,99.1,,,,
84,2009-01,,91.9,,,,
85,2009-04,,89.3,,,,
86,2009-07,,89.0,,,,
87,2009-10,,87.8,,,,
88,2010-01,,88.8,,,,
89,2010-04,,91.7,,,,
90,2010-07,,91.6,,,,
91,2010-10,,91.8,,,,
92,2011-01,,92.7,,,,
93,2011-04,,93.6,,,,
94,2011-07,,94.6,,,,
95,2011-10,,95.5,,,,
96,2012-01,,97.0,,,,
97,2012-04,,98.0,,,,
98,2012-07,,98.1,,,,
99,2012-10,,98.3,,,,
100,2013-01,,98.4,,,,
101,2013-04,,98.9,,,,
102,2013-07,,99.3,,,,
103,2013-10,,99.5,,,,
104,2014-01,,100.4,,,,
105,2014-04,,100.9,,,,
106,2014-07,,101.0,,,,
107,2014-10,,100.9,,,,
108,2015-01,,100.5,,,,
109,2015-04,,101.0,,,,
110,2015-07,,99.8,,,,
111,2015-10,,99.6,,,,
112,2016-01,,100.8,,,,
113,2016-04,,99.2,,,,
114,2016-07,,99.2,,,,
115,2016-10,,99.6,,,,
116,2017-01,98.4,99.2,98.3,98.1,98.0,97.7
117,2017-04,99.3,99.7,99.2,99.0,98.9,98.8
118,2017-07,100.4,100.3,100.4,100.6,100.7,100.8
119,2017-10,101.9,100.8,102.1,102.3,102.3,102.6
120,2018-01,102.7,101.3,102.8,103.1,103.2,103.5
121,2018-04,104.0,102.0,104.3,104.4,104.4,104.9
122,2018-07,104.9,102.9,105.2,105.1,105.2,105.7
123,2018-10,105.1,103.5,105.3,105.3,105.4,105.7
124,2019-01,105.4,104.0,105.6,105.4,105.4,105.8
125,2019-04,105.7,104.2,105.9,105.7,105.6,106.1
126,2019-07,106.0,104.5,106.2,106.0,105.9,106.4
127,2019-10,106.4,104.8,106.6,106.4,106.3,106.7
128,2020-01,107.1,105.2,107.4,107.1,107.1,107.6
129,2020-04,107.3,105.2,107.6,107.5,107.4,107.9
130,2020-07,110.4,105.9,111.0,110.8,110.9,111.8
131,2020-10,114.0,106.1,115.2,115.2,115.4,116.7
132,2021-01,120.0,107.3,121.7,121.1,121.3,123.1
133,2021-04,130.0,111.1,132.4,131.7,131.9,134.2
134,2021-07,135.7,113.9,138.3,138.4,139.1,141.3
135,2021-10,141.2,117.5,144.1,143.6,144.1,146.6
136,2022-01,151.0,121.8,154.4,153.6,154.1,157.4
137,2022-04,160.4,126.4,164.3,163.3,163.8,168.0
138,2022-07,163.1,128.8,167.0,165.4,165.6,170.3
