,REF_DATE,stjohns_aptBldg_BCPI,stjohns_highriseBldg_BCPI,stjohns_lowriseBldg_BCPI,stjohns_residbld_BCPI,stjohns_singdethouse_BCPI,stjohns_townhouse_BCPI
0,1988-04,,,,,,
1,1988-07,,,,,,
2,1988-10,,,,,,
3,1989-01,,,,,,
4,1989-04,,,,,,
5,1989-07,,,,,,
6,1989-10,,,,,,
7,1990-01,,,,,,
8,1990-04,,,,,,
9,1990-07,,,,,,
10,1990-10,,,,,,
11,1991-01,,,,,,
12,1991-04,,,,,,
13,1991-07,,,,,,
14,1991-10,,,,,,
15,1992-01,,,,,,
16,1992-04,,,,,,
17,1992-07,,,,,,
18,1992-10,,,,,,
19,1993-01,,,,,,
20,1993-04,,,,,,
21,1993-07,,,,,,
22,1993-10,,,,,,
23,1994-01,,,,,,
24,1994-04,,,,,,
25,1994-07,,,,,,
26,1994-10,,,,,,
27,1995-01,,,,,,
28,1995-04,,,,,,
29,1995-07,,,,,,
30,1995-10,,,,,,
31,1996-01,,,,,,
32,1996-04,,,,,,
33,1996-07,,,,,,
34,1996-10,,,,,,
35,1997-01,,,,,,
36,1997-04,,,,,,
37,1997-07,,,,,,
38,1997-10,,,,,,
39,1998-01,,,,,,
40,1998-04,,,,,,
41,1998-07,,,,,,
42,1998-10,,,,,,
43,1999-01,,,,,,
44,1999-04,,,,,,
45,1999-07,,,,,,
46,1999-10,,,,,,
47,2000-01,,,,,,
48,2000-04,,,,,,
49,2000-07,,,,,,
50,2000-10,,,,,,
51,2001-01,,,,,,
52,2001-04,,,,,,
53,2001-07,,,,,,
54,2001-10,,,,,,
55,2002-01,,,,,,
56,2002-04,,,,,,
57,2002-07,,,,,,
58,2002-10,,,,,,
59,2003-01,,,,,,
60,2003-04,,,,,,
61,2003-07,,,,,,
62,2003-10,,,,,,
63,2004-01,,,,,,
64,2004-04,,,,,,
65,2004-07,,,,,,
66,2004-10,,,,,,
67,2005-01,,,,,,
68,2005-04,,,,,,
69,2005-07,,,,,,
70,2005-10,,,,,,
71,2006-01,,,,,,
72,2006-04,,,,,,
73,2006-07,,,,,,
74,2006-10,,,,,,
75,2007-01,,,,,,
76,2007-04,,,,,,
77,2007-07,,,,,,
78,2007-10,,,,,,
79,2008-01,,,,,,
80,2008-04,,,,,,
81,2008-07,,,,,,
82,2008-10,,,,,,
83,2009-01,,,,,,
84,2009-04,,,,,,
85,2009-07,,,,,,
86,2009-10,,,,,,
87,2010-01,,,,,,
88,2010-04,,,,,,
89,2010-07,,,,,,
90,2010-10,,,,,,
91,2011-01,,,,,,
92,2011-04,,,,,,
93,2011-07,,,,,,
94,2011-10,,,,,,
95,2012-01,,,,,,
96,2012-04,,,,,,
97,2012-07,,,,,,
98,2012-10,,,,,,
99,2013-01,,,,,,
100,2013-04,,,,,,
101,2013-07,,,,,,
102,2013-10,,,,,,
103,2014-01,,,,,,
104,2014-04,,,,,,
105,2014-07,,,,,,
106,2014-10,,,,,,
107,2015-01,,,,,,
108,2015-04,,,,,,
109,2015-07,,,,,,
110,2015-10,,,,,,
111,2016-01,,,,,,
112,2016-04,,,,,,
113,2016-07,,,,,,
114,2016-10,,,,,,
115,2017-01,98.9,99.3,98.9,98.7,98.6,98.5
116,2017-04,99.3,99.7,99.3,99.1,99.1,98.9
117,2017-07,100.3,100.3,100.3,100.5,100.5,100.7
118,2017-10,101.5,100.7,101.5,101.7,101.7,101.9
119,2018-01,102.1,101.1,102.1,102.3,102.3,102.6
120,2018-04,102.9,101.5,103.0,103.2,103.3,103.5
121,2018-07,104.1,102.4,104.2,104.4,104.5,104.8
122,2018-10,104.3,102.7,104.4,104.6,104.7,104.9
123,2019-01,104.5,103.0,104.6,105.0,105.1,105.3
124,2019-04,104.7,103.3,104.8,105.1,105.3,105.4
125,2019-07,104.9,103.7,104.9,105.3,105.4,105.7
126,2019-10,105.1,103.8,105.2,105.5,105.7,105.9
127,2020-01,106.0,104.1,106.2,106.4,106.5,106.8
128,2020-04,106.3,104.4,106.5,106.9,107.0,107.3
129,2020-07,109.1,105.1,109.7,109.9,110.0,110.8
130,2020-10,113.9,105.8,115.1,115.8,116.2,117.4
131,2021-01,117.0,107.3,118.7,119.1,119.6,120.7
132,2021-04,126.7,111.3,130.3,130.0,130.6,132.3
133,2021-07,130.9,113.6,135.0,134.8,135.5,137.4
134,2021-10,135.2,116.8,139.7,139.4,140.2,142.1
135,2022-01,138.5,119.9,143.1,143.9,144.9,146.2
136,2022-04,143.8,123.9,148.6,150.3,151.5,152.6
137,2022-07,145.9,126.1,150.8,152.9,154.1,155.0
